Date,Open,High,Low,Close
2003-04-23,11.6111,11.6578,11.5722,11.6578
2003-04-24,11.5666,11.5666,11.4,11.4278
2003-04-25,11.2678,11.2678,11.2222,11.2389
2003-04-28,11.2678,11.4244,11.2666,11.4244
2003-04-29,11.6011,11.7555,11.6011,11.75
2003-04-30,11.7222,11.7322,11.6866,11.7166
2003-05-01,11.6833,11.73,11.6666,11.6711
2003-05-02,11.7089,11.85,11.7089,11.85
2003-05-05,11.8944,11.98,11.8944,11.9778
2003-05-06,11.9778,12.0533,11.9666,12.0389
2003-05-07,11.9889,12.0189,11.9789,12.0166
2003-05-08,11.9444,11.9511,11.9,11.9111
2003-05-09,11.9278,12.06,11.9278,12.0511
2003-05-12,12.1055,12.2189,12.1,12.2189
2003-05-13,12.1755,12.1755,12.1166,12.15
2003-05-14,12.15,12.15,12.0655,12.0889
2003-05-15,12.1133,12.1133,12.0833,12.1133
2003-05-16,12.1222,12.1666,12.0889,12.1222
2003-05-19,12.0444,12.0444,11.7889,11.8333
2003-05-20,11.8611,11.9066,11.8278,11.8922
2003-05-21,11.8711,11.9055,11.8089,11.9022
2003-05-22,11.9055,12.01,11.9055,12.01
2003-05-23,12.0944,12.1622,12.0944,12.1333
2003-05-27,12.1622,12.5755,12.1622,12.5678
2003-05-28,12.5678,12.64,12.5678,12.6222
2003-05-29,12.6111,12.6644,12.5889,12.6389
2003-05-30,12.6666,12.7855,12.6411,12.7855
2003-06-02,12.8222,13.0222,12.8222,12.8778
2003-06-03,12.8889,12.8889,12.6744,12.78
2003-06-04,12.7778,12.9455,12.7778,12.9444
2003-06-05,12.9911,12.9911,12.8733,12.9578
2003-06-06,13.0278,13.2111,13.0266,13.0789
2003-06-09,13.0955,13.0955,12.9255,12.9666
2003-06-10,12.9711,13.1,12.9711,13.1
2003-06-11,13.0944,13.1211,13.0,13.1111
2003-06-12,13.1333,13.21,13.1233,13.21
2003-06-13,13.1789,13.2166,13.1689,13.2055
2003-06-16,13.2444,13.3489,13.2278,13.3477
2003-06-17,13.4844,13.6333,13.4844,13.6222
2003-06-18,13.5855,13.6489,13.5422,13.5722
2003-06-19,13.6833,13.7055,13.5555,13.5722
2003-06-20,13.6111,13.6333,13.5333,13.5722
2003-06-23,13.5277,13.5277,13.2355,13.2389
2003-06-24,13.1833,13.1833,13.0666,13.1411
2003-06-25,13.1744,13.3311,13.1744,13.25
2003-06-26,13.3133,13.4,13.29,13.3933
2003-06-27,13.4111,13.4166,13.2978,13.3311
2003-06-30,13.3689,13.3689,13.3,13.3222
2003-07-01,13.3722,13.4777,13.3333,13.4666
2003-07-02,13.6166,13.7933,13.6166,13.7833
2003-07-03,13.8222,13.8289,13.7944,13.8222
2003-07-07,13.9666,14.1644,13.9666,14.1644
2003-07-08,14.1911,14.23,14.1389,14.2044
2003-07-09,14.1944,14.1944,14.1111,14.1711
2003-07-10,14.0933,14.0933,13.8777,13.9222
2003-07-11,13.9222,14.0389,13.9222,14.0389
2003-07-14,14.1944,14.3444,14.1944,14.2855
2003-07-15,14.3555,14.3555,14.1055,14.1055
2003-07-16,14.0777,14.1555,14.0366,14.1166
2003-07-17,14.0277,14.0277,13.7477,13.7477
2003-07-18,13.7722,13.9311,13.7722,13.9311
2003-07-21,13.8766,13.8766,13.7289,13.7466
2003-07-22,13.7822,13.9289,13.7666,13.9111
2003-07-23,13.8666,13.8666,13.74,13.8222
2003-07-24,13.9166,14.01,13.8889,13.8889
2003-07-25,13.9911,14.1166,13.9722,14.1166
2003-07-28,14.2,14.2389,14.1555,14.1944
2003-07-29,14.2166,14.2233,14.1,14.1144
2003-07-30,14.0811,14.0833,13.9833,14.0111
2003-07-31,14.0333,14.1211,14.0333,14.0777
2003-08-01,14.1055,14.1333,14.09,14.1089
2003-08-04,14.1277,14.1355,14.0,14.0466
2003-08-05,14.0466,14.0466,13.8955,13.8955
2003-08-06,13.8922,13.9077,13.7977,13.8333
2003-08-07,13.9333,13.9766,13.9,13.9344
2003-08-08,14.05,14.0555,13.9933,14.0277
2003-08-11,14.1111,14.1389,14.0555,14.0889
2003-08-12,14.1144,14.1566,14.0944,14.1444
2003-08-13,14.3189,14.3889,14.2533,14.3444
2003-08-14,14.3533,14.5433,14.3533,14.5333
2003-08-15,14.3889,14.3889,14.3889,14.3889
2003-08-18,14.5222,14.6977,14.5077,14.6955
2003-08-19,14.7777,14.7777,14.6777,14.7677
2003-08-20,14.7333,14.77,14.68,14.77
2003-08-21,14.89,15.0466,14.8722,15.0411
2003-08-22,15.2222,15.2222,15.0722,15.1177
2003-08-25,15.0966,15.0966,14.9844,15.0
2003-08-26,14.9389,14.9389,14.7277,14.8166
2003-08-27,14.84,14.9889,14.7866,14.9889
2003-08-28,15.0411,15.0933,14.9522,15.0933
2003-08-29,15.1889,15.2333,15.1889,15.2022
2003-09-02,15.3333,15.43,15.3111,15.4277
2003-09-03,15.6389,15.6389,15.5389,15.55
2003-09-04,15.5622,15.6277,15.5455,15.6055
2003-09-05,15.6333,15.6333,15.5611,15.5911
2003-09-08,15.7455,15.9055,15.7455,15.8866
2003-09-09,15.92,15.92,15.5866,15.6111
2003-09-10,15.5866,15.5866,15.2711,15.3511
2003-09-11,15.3566,15.4855,15.3333,15.3333
2003-09-12,15.3833,15.4422,15.2777,15.4422
2003-09-15,15.4644,15.4644,15.1666,15.2144
2003-09-16,15.3666,15.5277,15.3322,15.5277
2003-09-17,15.5544,15.5689,15.4511,15.4611
2003-09-18,15.4989,15.67,15.4444,15.6389
2003-09-19,15.6611,15.6611,15.5322,15.5666
2003-09-22,15.4966,15.4966,15.2455,15.3122
2003-09-23,15.3289,15.3611,15.3089,15.35
2003-09-24,15.5466,15.5766,15.3666,15.3777
2003-09-25,15.3777,15.3777,15.15,15.15
2003-09-26,15.15,15.15,15.0444,15.0444
2003-09-29,15.0689,15.1644,15.0555,15.1511
2003-09-30,15.2455,15.2455,15.0555,15.1033
2003-10-01,15.3122,15.5044,15.3011,15.5
2003-10-02,15.6455,15.75,15.6111,15.7222
2003-10-03,15.9444,15.9477,15.8511,15.8777
2003-10-06,15.9577,15.9733,15.8922,15.9389
2003-10-07,15.9889,15.9889,15.8889,15.9222
2003-10-08,16.0622,16.0722,16.0211,16.0411
2003-10-09,16.2977,16.3889,16.2777,16.3111
2003-10-10,16.3977,16.5155,16.3977,16.5111
2003-10-13,16.6111,16.7766,16.6111,16.7611
2003-10-14,16.7133,16.7133,16.4333,16.4411
2003-10-15,16.6389,16.7,16.6,16.64
2003-10-16,16.64,16.6777,16.6111,16.6355
2003-10-17,16.6422,16.6422,16.5,16.5344
2003-10-20,16.6577,16.6766,16.6055,16.6266
2003-10-21,16.6655,16.71,16.6444,16.71
2003-10-22,16.6777,16.6777,16.3966,16.4644
2003-10-23,16.2222,16.2222,16.1133,16.2222
2003-10-24,16.1111,16.1366,16.0566,16.1366
2003-10-27,16.2444,16.3333,16.2444,16.3222
2003-10-28,16.5333,16.5655,16.4889,16.5455
2003-10-29,16.6,16.6889,16.5666,16.6833
2003-10-30,16.7577,16.7722,16.6222,16.6233
2003-10-31,16.6366,16.6466,16.4689,16.49
2003-11-03,16.7777,16.8889,16.7555,16.8833
2003-11-04,16.9966,17.0,16.9044,16.93
2003-11-05,16.97,16.9966,16.8955,16.9522
2003-11-06,16.8833,16.8833,16.7455,16.8311
2003-11-07,16.8466,16.91,16.8277,16.8489
2003-11-10,16.8122,16.8122,16.6055,16.6166
2003-11-11,16.4944,16.4944,16.3444,16.4033
2003-11-12,16.5089,16.7155,16.4855,16.6955
2003-11-13,16.8144,16.8255,16.6811,16.8244
2003-11-14,16.7866,16.8422,16.6811,16.7389
2003-11-17,16.6111,16.6111,16.3133,16.4122
2003-11-18,16.5166,16.5611,16.4444,16.4444
2003-11-19,16.3889,16.3889,16.2844,16.3377
2003-11-20,16.1944,16.2166,16.1111,16.1266
2003-11-21,16.1822,16.2666,16.1822,16.2666
2003-11-24,16.2666,16.45,16.2389,16.4433
